"행정구역별(1)","규모별(1)","시점",데이터
"전국","초소형(40㎡ 이하)","2014.01",86.1
"전국","초소형(40㎡ 이하)","2014.02",86.6
"전국","초소형(40㎡ 이하)","2014.03",86.9
"전국","초소형(40㎡ 이하)","2014.04",86.9
"전국","초소형(40㎡ 이하)","2014.05",86.7
"전국","초소형(40㎡ 이하)","2014.06",87.2
"전국","초소형(40㎡ 이하)","2014.07",87.5
"전국","초소형(40㎡ 이하)","2014.08",87.6
"전국","초소형(40㎡ 이하)","2014.09",88.4
"전국","초소형(40㎡ 이하)","2014.10",89.2
"전국","초소형(40㎡ 이하)","2014.11",89.1
"전국","초소형(40㎡ 이하)","2014.12",89.5
"전국","초소형(40㎡ 이하)","2015.01",90.2
"전국","초소형(40㎡ 이하)","2015.02",90.8
"전국","초소형(40㎡ 이하)","2015.03",91.8
"전국","초소형(40㎡ 이하)","2015.04",92.6
"전국","초소형(40㎡ 이하)","2015.05",93.4
"전국","초소형(40㎡ 이하)","2015.06",93.6
"전국","초소형(40㎡ 이하)","2015.07",94.6
"전국","초소형(40㎡ 이하)","2015.08",95.5
"전국","초소형(40㎡ 이하)","2015.09",95.9
"전국","초소형(40㎡ 이하)","2015.10",95.9
"전국","초소형(40㎡ 이하)","2015.11",96.3
"전국","초소형(40㎡ 이하)","2015.12",95.8
"전국","초소형(40㎡ 이하)","2016.01",95.4
"전국","초소형(40㎡ 이하)","2016.02",95.8
"전국","초소형(40㎡ 이하)","2016.03",95.9
"전국","초소형(40㎡ 이하)","2016.04",96.3
"전국","초소형(40㎡ 이하)","2016.05",96.6
"전국","초소형(40㎡ 이하)","2016.06",96.8
"전국","초소형(40㎡ 이하)","2016.07",97.7
"전국","초소형(40㎡ 이하)","2016.08",98.6
"전국","초소형(40㎡ 이하)","2016.09",99.0
"전국","초소형(40㎡ 이하)","2016.10",99.3
"전국","초소형(40㎡ 이하)","2016.11",99.2
"전국","초소형(40㎡ 이하)","2016.12",98.6
"전국","초소형(40㎡ 이하)","2017.01",98.2
"전국","초소형(40㎡ 이하)","2017.02",98.9
"전국","초소형(40㎡ 이하)","2017.03",99.0
"전국","초소형(40㎡ 이하)","2017.04",98.9
"전국","초소형(40㎡ 이하)","2017.05",99.2
"전국","초소형(40㎡ 이하)","2017.06",99.8
"전국","초소형(40㎡ 이하)","2017.07",100.7
"전국","초소형(40㎡ 이하)","2017.08",100.4
"전국","초소형(40㎡ 이하)","2017.09",100.7
"전국","초소형(40㎡ 이하)","2017.10",100.8
"전국","초소형(40㎡ 이하)","2017.11",100.0
"전국","초소형(40㎡ 이하)","2017.12",99.4
"전국","초소형(40㎡ 이하)","2018.01",99.9
"전국","초소형(40㎡ 이하)","2018.02",99.9
"전국","초소형(40㎡ 이하)","2018.03",99.2
"전국","초소형(40㎡ 이하)","2018.04",98.8
"전국","초소형(40㎡ 이하)","2018.05",97.8
"전국","초소형(40㎡ 이하)","2018.06",97.3
"전국","초소형(40㎡ 이하)","2018.07",97.2
"전국","초소형(40㎡ 이하)","2018.08",97.4
"전국","초소형(40㎡ 이하)","2018.09",98.6
"전국","초소형(40㎡ 이하)","2018.10",97.6
"전국","초소형(40㎡ 이하)","2018.11",96.0
"전국","초소형(40㎡ 이하)","2018.12",95.0
"전국","초소형(40㎡ 이하)","2019.01",95.2
"전국","초소형(40㎡ 이하)","2019.02",95.0
"전국","초소형(40㎡ 이하)","2019.03",93.7
"전국","초소형(40㎡ 이하)","2019.04",93.8
"전국","초소형(40㎡ 이하)","2019.05",93.6
"전국","초소형(40㎡ 이하)","2019.06",93.2
"전국","초소형(40㎡ 이하)","2019.07",93.2
"전국","초소형(40㎡ 이하)","2019.08",93.0
"전국","초소형(40㎡ 이하)","2019.09",92.4
"전국","초소형(40㎡ 이하)","2019.10",92.8
"전국","초소형(40㎡ 이하)","2019.11",93.1
"전국","초소형(40㎡ 이하)","2019.12",93.0
"전국","초소형(40㎡ 이하)","2020.01",93.5
"전국","초소형(40㎡ 이하)","2020.02",93.9
"전국","초소형(40㎡ 이하)","2020.03",94.9
"전국","초소형(40㎡ 이하)","2020.04",93.8
"전국","초소형(40㎡ 이하)","2020.05",94.8
"전국","초소형(40㎡ 이하)","2020.06",96.3
"전국","초소형(40㎡ 이하)","2020.07",97.1
"전국","초소형(40㎡ 이하)","2020.08",97.1
"전국","초소형(40㎡ 이하)","2020.09",96.4
"전국","초소형(40㎡ 이하)","2020.10",97.0
"전국","초소형(40㎡ 이하)","2020.11",98.6
"전국","초소형(40㎡ 이하)","2020.12",100.7
"전국","초소형(40㎡ 이하)","2021.01",101.8
"전국","초소형(40㎡ 이하)","2021.02",103.1
"전국","초소형(40㎡ 이하)","2021.03",104.1
"전국","초소형(40㎡ 이하)","2021.04",104.8
"전국","초소형(40㎡ 이하)","2021.05",105.9
"전국","초소형(40㎡ 이하)","2021.06",107.0
"전국","초소형(40㎡ 이하)","2021.07",108.9
"전국","초소형(40㎡ 이하)","2021.08",111.3
"전국","초소형(40㎡ 이하)","2021.09",112.5
"전국","초소형(40㎡ 이하)","2021.10",114.0
"전국","초소형(40㎡ 이하)","2021.11",113.5
"전국","초소형(40㎡ 이하)","2021.12",113.2
"전국","초소형(40㎡ 이하)","2022.01",113.4
"전국","초소형(40㎡ 이하)","2022.02",113.5
"전국","소형(40㎡초과 60㎡이하)","2014.01",86.4
"전국","소형(40㎡초과 60㎡이하)","2014.02",86.9
"전국","소형(40㎡초과 60㎡이하)","2014.03",87.4
"전국","소형(40㎡초과 60㎡이하)","2014.04",87.4
"전국","소형(40㎡초과 60㎡이하)","2014.05",87.4
"전국","소형(40㎡초과 60㎡이하)","2014.06",87.4
"전국","소형(40㎡초과 60㎡이하)","2014.07",87.5
"전국","소형(40㎡초과 60㎡이하)","2014.08",88.2
"전국","소형(40㎡초과 60㎡이하)","2014.09",88.8
"전국","소형(40㎡초과 60㎡이하)","2014.10",89.3
"전국","소형(40㎡초과 60㎡이하)","2014.11",89.5
"전국","소형(40㎡초과 60㎡이하)","2014.12",89.8
"전국","소형(40㎡초과 60㎡이하)","2015.01",90.4
"전국","소형(40㎡초과 60㎡이하)","2015.02",91.0
"전국","소형(40㎡초과 60㎡이하)","2015.03",91.9
"전국","소형(40㎡초과 60㎡이하)","2015.04",92.7
"전국","소형(40㎡초과 60㎡이하)","2015.05",93.3
"전국","소형(40㎡초과 60㎡이하)","2015.06",93.8
"전국","소형(40㎡초과 60㎡이하)","2015.07",94.9
"전국","소형(40㎡초과 60㎡이하)","2015.08",95.6
"전국","소형(40㎡초과 60㎡이하)","2015.09",96.3
"전국","소형(40㎡초과 60㎡이하)","2015.10",96.8
"전국","소형(40㎡초과 60㎡이하)","2015.11",96.8
"전국","소형(40㎡초과 60㎡이하)","2015.12",96.2
"전국","소형(40㎡초과 60㎡이하)","2016.01",96.1
"전국","소형(40㎡초과 60㎡이하)","2016.02",96.2
"전국","소형(40㎡초과 60㎡이하)","2016.03",96.1
"전국","소형(40㎡초과 60㎡이하)","2016.04",96.2
"전국","소형(40㎡초과 60㎡이하)","2016.05",96.2
"전국","소형(40㎡초과 60㎡이하)","2016.06",96.5
"전국","소형(40㎡초과 60㎡이하)","2016.07",97.2
"전국","소형(40㎡초과 60㎡이하)","2016.08",97.9
"전국","소형(40㎡초과 60㎡이하)","2016.09",98.8
"전국","소형(40㎡초과 60㎡이하)","2016.10",99.4
"전국","소형(40㎡초과 60㎡이하)","2016.11",99.6
"전국","소형(40㎡초과 60㎡이하)","2016.12",99.1
"전국","소형(40㎡초과 60㎡이하)","2017.01",98.9
"전국","소형(40㎡초과 60㎡이하)","2017.02",99.2
"전국","소형(40㎡초과 60㎡이하)","2017.03",99.2
"전국","소형(40㎡초과 60㎡이하)","2017.04",99.0
"전국","소형(40㎡초과 60㎡이하)","2017.05",99.2
"전국","소형(40㎡초과 60㎡이하)","2017.06",99.8
"전국","소형(40㎡초과 60㎡이하)","2017.07",100.6
"전국","소형(40㎡초과 60㎡이하)","2017.08",100.7
"전국","소형(40㎡초과 60㎡이하)","2017.09",100.7
"전국","소형(40㎡초과 60㎡이하)","2017.10",100.6
"전국","소형(40㎡초과 60㎡이하)","2017.11",100.0
"전국","소형(40㎡초과 60㎡이하)","2017.12",99.4
"전국","소형(40㎡초과 60㎡이하)","2018.01",99.4
"전국","소형(40㎡초과 60㎡이하)","2018.02",99.5
"전국","소형(40㎡초과 60㎡이하)","2018.03",99.4
"전국","소형(40㎡초과 60㎡이하)","2018.04",99.3
"전국","소형(40㎡초과 60㎡이하)","2018.05",98.8
"전국","소형(40㎡초과 60㎡이하)","2018.06",98.5
"전국","소형(40㎡초과 60㎡이하)","2018.07",98.0
"전국","소형(40㎡초과 60㎡이하)","2018.08",98.7
"전국","소형(40㎡초과 60㎡이하)","2018.09",99.9
"전국","소형(40㎡초과 60㎡이하)","2018.10",99.8
"전국","소형(40㎡초과 60㎡이하)","2018.11",98.9
"전국","소형(40㎡초과 60㎡이하)","2018.12",98.2
"전국","소형(40㎡초과 60㎡이하)","2019.01",97.6
"전국","소형(40㎡초과 60㎡이하)","2019.02",97.2
"전국","소형(40㎡초과 60㎡이하)","2019.03",96.6
"전국","소형(40㎡초과 60㎡이하)","2019.04",96.1
"전국","소형(40㎡초과 60㎡이하)","2019.05",95.7
"전국","소형(40㎡초과 60㎡이하)","2019.06",95.8
"전국","소형(40㎡초과 60㎡이하)","2019.07",95.9
"전국","소형(40㎡초과 60㎡이하)","2019.08",95.9
"전국","소형(40㎡초과 60㎡이하)","2019.09",96.0
"전국","소형(40㎡초과 60㎡이하)","2019.10",96.1
"전국","소형(40㎡초과 60㎡이하)","2019.11",96.3
"전국","소형(40㎡초과 60㎡이하)","2019.12",96.9
"전국","소형(40㎡초과 60㎡이하)","2020.01",97.4
"전국","소형(40㎡초과 60㎡이하)","2020.02",98.8
"전국","소형(40㎡초과 60㎡이하)","2020.03",99.5
"전국","소형(40㎡초과 60㎡이하)","2020.04",99.4
"전국","소형(40㎡초과 60㎡이하)","2020.05",100.1
"전국","소형(40㎡초과 60㎡이하)","2020.06",101.4
"전국","소형(40㎡초과 60㎡이하)","2020.07",103.1
"전국","소형(40㎡초과 60㎡이하)","2020.08",103.7
