"행정구역별(1)","규모별(1)","시점",데이터
"전국","초소형(40㎡ 이하)","2014.01",81.2
"전국","초소형(40㎡ 이하)","2014.02",82.0
"전국","초소형(40㎡ 이하)","2014.03",82.4
"전국","초소형(40㎡ 이하)","2014.04",82.3
"전국","초소형(40㎡ 이하)","2014.05",82.0
"전국","초소형(40㎡ 이하)","2014.06",82.1
"전국","초소형(40㎡ 이하)","2014.07",82.4
"전국","초소형(40㎡ 이하)","2014.08",83.6
"전국","초소형(40㎡ 이하)","2014.09",84.2
"전국","초소형(40㎡ 이하)","2014.10",84.6
"전국","초소형(40㎡ 이하)","2014.11",83.5
"전국","초소형(40㎡ 이하)","2014.12",84.5
"전국","초소형(40㎡ 이하)","2015.01",86.3
"전국","초소형(40㎡ 이하)","2015.02",87.1
"전국","초소형(40㎡ 이하)","2015.03",88.1
"전국","초소형(40㎡ 이하)","2015.04",88.0
"전국","초소형(40㎡ 이하)","2015.05",89.7
"전국","초소형(40㎡ 이하)","2015.06",90.5
"전국","초소형(40㎡ 이하)","2015.07",91.4
"전국","초소형(40㎡ 이하)","2015.08",93.1
"전국","초소형(40㎡ 이하)","2015.09",94.2
"전국","초소형(40㎡ 이하)","2015.10",94.6
"전국","초소형(40㎡ 이하)","2015.11",94.9
"전국","초소형(40㎡ 이하)","2015.12",95.4
"전국","초소형(40㎡ 이하)","2016.01",96.2
"전국","초소형(40㎡ 이하)","2016.02",95.8
"전국","초소형(40㎡ 이하)","2016.03",96.4
"전국","초소형(40㎡ 이하)","2016.04",97.5
"전국","초소형(40㎡ 이하)","2016.05",97.0
"전국","초소형(40㎡ 이하)","2016.06",96.9
"전국","초소형(40㎡ 이하)","2016.07",96.9
"전국","초소형(40㎡ 이하)","2016.08",98.6
"전국","초소형(40㎡ 이하)","2016.09",98.8
"전국","초소형(40㎡ 이하)","2016.10",98.9
"전국","초소형(40㎡ 이하)","2016.11",98.6
"전국","초소형(40㎡ 이하)","2016.12",98.7
"전국","초소형(40㎡ 이하)","2017.01",99.2
"전국","초소형(40㎡ 이하)","2017.02",99.8
"전국","초소형(40㎡ 이하)","2017.03",99.9
"전국","초소형(40㎡ 이하)","2017.04",100.1
"전국","초소형(40㎡ 이하)","2017.05",100.6
"전국","초소형(40㎡ 이하)","2017.06",100.7
"전국","초소형(40㎡ 이하)","2017.07",99.8
"전국","초소형(40㎡ 이하)","2017.08",100.7
"전국","초소형(40㎡ 이하)","2017.09",100.5
"전국","초소형(40㎡ 이하)","2017.10",101.3
"전국","초소형(40㎡ 이하)","2017.11",100.0
"전국","초소형(40㎡ 이하)","2017.12",100.1
"전국","초소형(40㎡ 이하)","2018.01",100.2
"전국","초소형(40㎡ 이하)","2018.02",100.3
"전국","초소형(40㎡ 이하)","2018.03",99.3
"전국","초소형(40㎡ 이하)","2018.04",97.8
"전국","초소형(40㎡ 이하)","2018.05",98.8
"전국","초소형(40㎡ 이하)","2018.06",98.7
"전국","초소형(40㎡ 이하)","2018.07",98.3
"전국","초소형(40㎡ 이하)","2018.08",99.0
"전국","초소형(40㎡ 이하)","2018.09",99.0
"전국","초소형(40㎡ 이하)","2018.10",98.9
"전국","초소형(40㎡ 이하)","2018.11",98.7
"전국","초소형(40㎡ 이하)","2018.12",97.7
"전국","초소형(40㎡ 이하)","2019.01",97.6
"전국","초소형(40㎡ 이하)","2019.02",97.1
"전국","초소형(40㎡ 이하)","2019.03",96.8
"전국","초소형(40㎡ 이하)","2019.04",98.2
"전국","초소형(40㎡ 이하)","2019.05",97.3
"전국","초소형(40㎡ 이하)","2019.06",98.5
"전국","초소형(40㎡ 이하)","2019.07",98.5
"전국","초소형(40㎡ 이하)","2019.08",99.1
"전국","초소형(40㎡ 이하)","2019.09",98.6
"전국","초소형(40㎡ 이하)","2019.10",99.6
"전국","초소형(40㎡ 이하)","2019.11",100.2
"전국","초소형(40㎡ 이하)","2019.12",100.7
"전국","초소형(40㎡ 이하)","2020.01",101.1
"전국","초소형(40㎡ 이하)","2020.02",101.4
"전국","초소형(40㎡ 이하)","2020.03",101.8
"전국","초소형(40㎡ 이하)","2020.04",101.9
"전국","초소형(40㎡ 이하)","2020.05",102.5
"전국","초소형(40㎡ 이하)","2020.06",102.2
"전국","초소형(40㎡ 이하)","2020.07",104.0
"전국","초소형(40㎡ 이하)","2020.08",104.4
"전국","초소형(40㎡ 이하)","2020.09",104.9
"전국","초소형(40㎡ 이하)","2020.10",108.0
"전국","초소형(40㎡ 이하)","2020.11",108.2
"전국","초소형(40㎡ 이하)","2020.12",109.7
"전국","초소형(40㎡ 이하)","2021.01",110.4
"전국","초소형(40㎡ 이하)","2021.02",110.4
"전국","초소형(40㎡ 이하)","2021.03",111.1
"전국","초소형(40㎡ 이하)","2021.04",112.5
"전국","초소형(40㎡ 이하)","2021.05",113.3
"전국","초소형(40㎡ 이하)","2021.06",114.7
"전국","초소형(40㎡ 이하)","2021.07",115.3
"전국","초소형(40㎡ 이하)","2021.08",115.8
"전국","초소형(40㎡ 이하)","2021.09",118.7
"전국","초소형(40㎡ 이하)","2021.10",118.8
"전국","초소형(40㎡ 이하)","2021.11",119.3
"전국","초소형(40㎡ 이하)","2021.12",118.8
"전국","초소형(40㎡ 이하)","2022.01",121.0
"전국","초소형(40㎡ 이하)","2022.02",120.9
"전국","소형(40㎡초과 60㎡이하)","2014.01",79.9
"전국","소형(40㎡초과 60㎡이하)","2014.02",80.5
"전국","소형(40㎡초과 60㎡이하)","2014.03",80.9
"전국","소형(40㎡초과 60㎡이하)","2014.04",80.7
"전국","소형(40㎡초과 60㎡이하)","2014.05",80.6
"전국","소형(40㎡초과 60㎡이하)","2014.06",80.6
"전국","소형(40㎡초과 60㎡이하)","2014.07",81.0
"전국","소형(40㎡초과 60㎡이하)","2014.08",81.9
"전국","소형(40㎡초과 60㎡이하)","2014.09",82.8
"전국","소형(40㎡초과 60㎡이하)","2014.10",83.2
"전국","소형(40㎡초과 60㎡이하)","2014.11",83.4
"전국","소형(40㎡초과 60㎡이하)","2014.12",83.8
"전국","소형(40㎡초과 60㎡이하)","2015.01",85.4
"전국","소형(40㎡초과 60㎡이하)","2015.02",86.0
"전국","소형(40㎡초과 60㎡이하)","2015.03",87.5
"전국","소형(40㎡초과 60㎡이하)","2015.04",88.3
"전국","소형(40㎡초과 60㎡이하)","2015.05",89.3
"전국","소형(40㎡초과 60㎡이하)","2015.06",90.3
"전국","소형(40㎡초과 60㎡이하)","2015.07",91.9
"전국","소형(40㎡초과 60㎡이하)","2015.08",93.5
"전국","소형(40㎡초과 60㎡이하)","2015.09",95.3
"전국","소형(40㎡초과 60㎡이하)","2015.10",95.7
"전국","소형(40㎡초과 60㎡이하)","2015.11",96.5
"전국","소형(40㎡초과 60㎡이하)","2015.12",96.8
"전국","소형(40㎡초과 60㎡이하)","2016.01",97.3
"전국","소형(40㎡초과 60㎡이하)","2016.02",97.3
"전국","소형(40㎡초과 60㎡이하)","2016.03",97.5
"전국","소형(40㎡초과 60㎡이하)","2016.04",97.6
"전국","소형(40㎡초과 60㎡이하)","2016.05",97.3
"전국","소형(40㎡초과 60㎡이하)","2016.06",97.7
"전국","소형(40㎡초과 60㎡이하)","2016.07",98.2
"전국","소형(40㎡초과 60㎡이하)","2016.08",98.7
"전국","소형(40㎡초과 60㎡이하)","2016.09",99.6
"전국","소형(40㎡초과 60㎡이하)","2016.10",100.1
"전국","소형(40㎡초과 60㎡이하)","2016.11",99.8
"전국","소형(40㎡초과 60㎡이하)","2016.12",99.7
"전국","소형(40㎡초과 60㎡이하)","2017.01",99.4
"전국","소형(40㎡초과 60㎡이하)","2017.02",99.8
"전국","소형(40㎡초과 60㎡이하)","2017.03",100.2
"전국","소형(40㎡초과 60㎡이하)","2017.04",100.1
"전국","소형(40㎡초과 60㎡이하)","2017.05",100.1
"전국","소형(40㎡초과 60㎡이하)","2017.06",100.2
"전국","소형(40㎡초과 60㎡이하)","2017.07",100.1
"전국","소형(40㎡초과 60㎡이하)","2017.08",100.5
"전국","소형(40㎡초과 60㎡이하)","2017.09",100.8
"전국","소형(40㎡초과 60㎡이하)","2017.10",100.4
"전국","소형(40㎡초과 60㎡이하)","2017.11",100.0
"전국","소형(40㎡초과 60㎡이하)","2017.12",99.1
"전국","소형(40㎡초과 60㎡이하)","2018.01",98.5
"전국","소형(40㎡초과 60㎡이하)","2018.02",98.5
"전국","소형(40㎡초과 60㎡이하)","2018.03",98.5
"전국","소형(40㎡초과 60㎡이하)","2018.04",97.6
"전국","소형(40㎡초과 60㎡이하)","2018.05",97.2
"전국","소형(40㎡초과 60㎡이하)","2018.06",97.0
"전국","소형(40㎡초과 60㎡이하)","2018.07",97.4
"전국","소형(40㎡초과 60㎡이하)","2018.08",98.4
"전국","소형(40㎡초과 60㎡이하)","2018.09",98.9
"전국","소형(40㎡초과 60㎡이하)","2018.10",98.9
"전국","소형(40㎡초과 60㎡이하)","2018.11",98.4
"전국","소형(40㎡초과 60㎡이하)","2018.12",97.3
"전국","소형(40㎡초과 60㎡이하)","2019.01",96.3
"전국","소형(40㎡초과 60㎡이하)","2019.02",96.3
"전국","소형(40㎡초과 60㎡이하)","2019.03",96.2
"전국","소형(40㎡초과 60㎡이하)","2019.04",96.1
"전국","소형(40㎡초과 60㎡이하)","2019.05",96.0
"전국","소형(40㎡초과 60㎡이하)","2019.06",96.7
"전국","소형(40㎡초과 60㎡이하)","2019.07",97.3
"전국","소형(40㎡초과 60㎡이하)","2019.08",98.0
"전국","소형(40㎡초과 60㎡이하)","2019.09",98.9
"전국","소형(40㎡초과 60㎡이하)","2019.10",99.9
"전국","소형(40㎡초과 60㎡이하)","2019.11",100.5
"전국","소형(40㎡초과 60㎡이하)","2019.12",101.1
"전국","소형(40㎡초과 60㎡이하)","2020.01",101.7
"전국","소형(40㎡초과 60㎡이하)","2020.02",101.7
"전국","소형(40㎡초과 60㎡이하)","2020.03",101.9
"전국","소형(40㎡초과 60㎡이하)","2020.04",102.0
"전국","소형(40㎡초과 60㎡이하)","2020.05",102.8
"전국","소형(40㎡초과 60㎡이하)","2020.06",103.9
"전국","소형(40㎡초과 60㎡이하)","2020.07",105.7
"전국","소형(40㎡초과 60㎡이하)","2020.08",107.1
"전국","소형(40㎡초과 60㎡이하)","2020.09",109.4
"전국","소형(40㎡초과 60㎡이하)","2020.10",110.6
"전국","소형(40㎡초과 60㎡이하)","2020.11",113.5
"전국","소형(40㎡초과 60㎡이하)","2020.12",114.5
"전국","소형(40㎡초과 60㎡이하)","2021.01",114.2
"전국","소형(40㎡초과 60㎡이하)","2021.02",114.2
"전국","소형(40㎡초과 60㎡이하)","2021.03",116.0
"전국","소형(40㎡초과 60㎡이하)","2021.04",116.4
"전국","소형(40㎡초과 60㎡이하)","2021.05",117.4
"전국","소형(40㎡초과 60㎡이하)","2021.06",120.4
"전국","소형(40㎡초과 60㎡이하)","2021.07",120.3
"전국","소형(40㎡초과 60㎡이하)","2021.08",121.3
"전국","소형(40㎡초과 60㎡이하)","2021.09",124.2
"전국","소형(40㎡초과 60㎡이하)","2021.10",123.8
"전국","소형(40㎡초과 60㎡이하)","2021.11",124.3
"전국","소형(40㎡초과 60㎡이하)","2021.12",124.3
"전국","소형(40㎡초과 60㎡이하)","2022.01",123.9
